#                     Distributed Loads                    #
260
# |  N1  |  N2  | ... |  Nn  |  SX  |  SY  | Sz (only3D) | #
29535	29524	29523	29534	0.00	-10.00	0.00
29537	29526	29525	29536	0.00	-10.00	0.00
29538	29527	29526	29537	0.00	-10.00	0.00
29539	29528	29527	29538	0.00	-10.00	0.00
29540	29529	29528	29539	0.00	-10.00	0.00
29541	29530	29529	29540	0.00	-10.00	0.00
29542	29531	29530	29541	0.00	-10.00	0.00
29543	29532	29531	29542	0.00	-10.00	0.00
29544	29533	29532	29543	0.00	-10.00	0.00
29545	29534	29533	29544	0.00	-10.00	0.00
29546	29535	29534	29545	0.00	-10.00	0.00
29548	29537	29536	29547	0.00	-10.00	0.00
29549	29538	29537	29548	0.00	-10.00	0.00
29550	29539	29538	29549	0.00	-10.00	0.00
29551	29540	29539	29550	0.00	-10.00	0.00
29552	29541	29540	29551	0.00	-10.00	0.00
29553	29542	29541	29552	0.00	-10.00	0.00
29554	29543	29542	29553	0.00	-10.00	0.00
29555	29544	29543	29554	0.00	-10.00	0.00
29556	29545	29544	29555	0.00	-10.00	0.00
29557	29546	29545	29556	0.00	-10.00	0.00
29559	29548	29547	29558	0.00	-10.00	0.00
29560	29549	29548	29559	0.00	-10.00	0.00
29561	29550	29549	29560	0.00	-10.00	0.00
29562	29551	29550	29561	0.00	-10.00	0.00
29563	29552	29551	29562	0.00	-10.00	0.00
29564	29553	29552	29563	0.00	-10.00	0.00
29565	29554	29553	29564	0.00	-10.00	0.00
29566	29555	29554	29565	0.00	-10.00	0.00
29567	29556	29555	29566	0.00	-10.00	0.00
29568	29557	29556	29567	0.00	-10.00	0.00
29570	29559	29558	29569	0.00	-10.00	0.00
29571	29560	29559	29570	0.00	-10.00	0.00
29572	29561	29560	29571	0.00	-10.00	0.00
29573	29562	29561	29572	0.00	-10.00	0.00
29574	29563	29562	29573	0.00	-10.00	0.00
29575	29564	29563	29574	0.00	-10.00	0.00
29576	29565	29564	29575	0.00	-10.00	0.00
29577	29566	29565	29576	0.00	-10.00	0.00
29578	29567	29566	29577	0.00	-10.00	0.00
29579	29568	29567	29578	0.00	-10.00	0.00
29581	29570	29569	29580	0.00	-10.00	0.00
29582	29571	29570	29581	0.00	-10.00	0.00
29583	29572	29571	29582	0.00	-10.00	0.00
29584	29573	29572	29583	0.00	-10.00	0.00
29585	29574	29573	29584	0.00	-10.00	0.00
29586	29575	29574	29585	0.00	-10.00	0.00
29587	29576	29575	29586	0.00	-10.00	0.00
29588	29577	29576	29587	0.00	-10.00	0.00
29589	29578	29577	29588	0.00	-10.00	0.00
29590	29579	29578	29589	0.00	-10.00	0.00
29592	29581	29580	29591	0.00	-10.00	0.00
29593	29582	29581	29592	0.00	-10.00	0.00
29594	29583	29582	29593	0.00	-10.00	0.00
29595	29584	29583	29594	0.00	-10.00	0.00
29596	29585	29584	29595	0.00	-10.00	0.00
29597	29586	29585	29596	0.00	-10.00	0.00
29598	29587	29586	29597	0.00	-10.00	0.00
29599	29588	29587	29598	0.00	-10.00	0.00
